Thermal Conductivity (W/(m·K)),Tensile Modulus (GPa)
10.208771777224309,7.39657842456057,PBA-a
10.890378585640509,7.377211278608346,PBA-a
12.158291530065434,7.3020690053661035,PBA-a
14.416808056224308,7.2746162770901845,PBA-a
17.64036644320752,7.1971831766207,PBA-a
0,3.895099828059424,PETE
7,3.3332548802744393,PETE
11,3.219190497304563,PETE
17,3.0556662733153632,PETE
18,3.0551296456149273,PETE
2,0.6504248271545463,Polyetherketoneketone
6,0.5350045206588423,Polyetherketoneketone
7,0.40582936684629484,Polyetherketoneketone
14,0.2740906448391268,Polyetherketoneketone
19,0.16161686201634626,Polyetherketoneketone
