Aging Temperature (°C),Dynamic Viscosity (Pa·s)
4.301993229797015,8.160324786595442,nanosilica/PCTFE
9.106735400603048,24.068630136048206,nanosilica/PCTFE
16.281071744856742,75.01602157907296,nanosilica/PCTFE
4.301993229797015,5.667394357964075,cellulose nanocrystal/PCTFE
9.106735400603048,-7.716163224416315,cellulose nanocrystal/PCTFE
16.281071744856742,-66.75081197038342,cellulose nanocrystal/PCTFE
4.301993229797015,-1.940453788746741,cellulose nanocrystal/PCTFE
9.106735400603048,-2.1443928280782867,cellulose nanocrystal/PCTFE
16.281071744856742,-2.1898587524121425,cellulose nanocrystal/PCTFE
4.301993229797015,-2.5815097483683576,graphene platelet/PCTFE
9.106735400603048,-2.9500167008855707,graphene platelet/PCTFE
16.281071744856742,-3.1251209727261395,graphene platelet/PCTFE
4.301993229797015,-2.611950842551649,silica/PCTFE
9.106735400603048,-1.8371127638519367,silica/PCTFE
16.281071744856742,2.4979028737965585,silica/PCTFE
