Ultrasound Time (min),Saturation Magnetization (A/m)
3.5209442152681136,-7.356318077688057,0.89% Sodium titanate nanotubes/PTFCE
6.911126578550764,-7.6192712797606115,0.89% Sodium titanate nanotubes/PTFCE
14.04055906084472,-7.729423500401249,0.89% Sodium titanate nanotubes/PTFCE
3.5209442152681136,7.006108532121893,0.28% Sodium titanate nanotubes/PTFCE
6.911126578550764,6.846839345097468,0.28% Sodium titanate nanotubes/PTFCE
14.04055906084472,6.50281951493058,0.28% Sodium titanate nanotubes/PTFCE
3.5209442152681136,10.248161969722082,0.52% Sodium titanate nanotubes/PTFCE
6.911126578550764,17.77600520519821,0.52% Sodium titanate nanotubes/PTFCE
14.04055906084472,-38.677131634104704,0.52% Sodium titanate nanotubes/PTFCE
3.5209442152681136,-1.8393500737884017,0.76% Sodium titanate nanotubes/PTFCE
6.911126578550764,-2.0700847693982065,0.76% Sodium titanate nanotubes/PTFCE
14.04055906084472,-2.291198236588325,0.76% Sodium titanate nanotubes/PTFCE
