Incubation Time (h),Fracture Toughness (MPa·m^0.5)
1.2002971577482735,3.168917679152741,0.43% White spirits
9.329751031674185,2.619369624798456,0.43% White spirits
9.773008025997862,2.623569232020618,0.43% White spirits
16.89741866874313,2.453491798270883,0.43% White spirits
1.2002971577482735,-6.316144695154881,0.56% White spirits
9.329751031674185,-6.881755712919473,0.56% White spirits
9.773008025997862,-6.9621886402061275,0.56% White spirits
16.89741866874313,-7.0949213666331366,0.56% White spirits
1.2002971577482735,4.9087869443443495,0.72% White spirits
9.329751031674185,4.271904113991684,0.72% White spirits
9.773008025997862,4.208736839441911,0.72% White spirits
16.89741866874313,4.0399235544216845,0.72% White spirits
1.2002971577482735,-3.8115075823230544,0.36% White spirits
9.329751031674185,-2.618436564511595,0.36% White spirits
9.773008025997862,-2.6265625665351946,0.36% White spirits
16.89741866874313,3.2823953731512727,0.36% White spirits
