Ultrasound Power (W),Passivation Current Density (A/m²)
2.2885741028831963,8.105679911153839,graphene platelet/PVB
7.369091169938658,7.80947651218391,graphene platelet/PVB
11.729834305781337,7.472654134885,graphene platelet/PVB
2.8547713787433415,5.766565948716321,Barium titanate/PVB
8.337819195435864,5.399390657999865,Barium titanate/PVB
12.793415571545651,5.335274253697296,Barium titanate/PVB
6,-1.544155095835529,OAP-POSS/PVB
14,-1.6894210695993863,OAP-POSS/PVB
18,-1.6991510471224855,OAP-POSS/PVB
5,-0.07049014950257848,Silicon dioxide/PVB
6,-0.5820358059421578,Silicon dioxide/PVB
16,3.3545134871202134,Silicon dioxide/PVB
