Particle Size (nm),Kinematic Viscosity (mm²/s)
5.468831508736995,9.08910546595672,0.72% Graphite oxide/Polyimide
7.45042448850791,8.867529042553567,0.72% Graphite oxide/Polyimide
9.693318006333087,8.738160410982585,0.72% Graphite oxide/Polyimide
11.468386763062096,8.05023042587862,0.72% Graphite oxide/Polyimide
19.10424321983237,10.724003526905548,0.72% Graphite oxide/Polyimide
5.468831508736995,1.6485750950199698,0.05% Graphite oxide/Polyimide
7.45042448850791,1.5787096630307815,0.05% Graphite oxide/Polyimide
9.693318006333087,1.481696906312672,0.05% Graphite oxide/Polyimide
11.468386763062096,1.3836963226342898,0.05% Graphite oxide/Polyimide
19.10424321983237,1.2155405924391873,0.05% Graphite oxide/Polyimide
5.468831508736995,8.140707603268035,0.18% Graphite oxide/Polyimide
7.45042448850791,8.024389368395132,0.18% Graphite oxide/Polyimide
9.693318006333087,7.886938169025344,0.18% Graphite oxide/Polyimide
11.468386763062096,7.813329684314983,0.18% Graphite oxide/Polyimide
19.10424321983237,7.650866713425719,0.18% Graphite oxide/Polyimide
