Exposure Time (h),Impact Strength (kJ/m²)
0.13444535610525277,-5.1700178243853125,0.1% Aluminium/Nylon 6
0.3325561680467093,-5.093579472863756,0.1% Aluminium/Nylon 6
4.963230450039397,-5.906900841738826,0.1% Aluminium/Nylon 6
6.7335983520772995,-5.99293214873531,0.1% Aluminium/Nylon 6
9.702865446105804,-6.0679491474308875,0.1% Aluminium/Nylon 6
9.982910630509048,-6.073272027686746,0.1% Aluminium/Nylon 6
0.13444535610525277,-4.541397198196298,0.89% Aluminium/Nylon 6
0.3325561680467093,-4.552340142561474,0.89% Aluminium/Nylon 6
4.963230450039397,-5.381076764662952,0.89% Aluminium/Nylon 6
6.7335983520772995,-5.490524037511471,0.89% Aluminium/Nylon 6
9.702865446105804,-5.567982229827088,0.89% Aluminium/Nylon 6
9.982910630509048,-5.5718024498411785,0.89% Aluminium/Nylon 6
0.13444535610525277,1.2385746849495172,0.25% Aluminium/Nylon 6
0.3325561680467093,1.3043066864122794,0.25% Aluminium/Nylon 6
4.963230450039397,4.119897964232077,0.25% Aluminium/Nylon 6
6.7335983520772995,11.196538204788501,0.25% Aluminium/Nylon 6
9.702865446105804,35.68017250338807,0.25% Aluminium/Nylon 6
9.982910630509048,37.786571707377526,0.25% Aluminium/Nylon 6
0.13444535610525277,-2.810259214191758,0.32% Aluminium/Nylon 6
0.3325561680467093,-3.009131337401642,0.32% Aluminium/Nylon 6
4.963230450039397,-3.717791700860946,0.32% Aluminium/Nylon 6
6.7335983520772995,-3.8215689065470118,0.32% Aluminium/Nylon 6
9.702865446105804,-3.884170342385925,0.32% Aluminium/Nylon 6
9.982910630509048,-3.888544578589318,0.32% Aluminium/Nylon 6
