Crosslinking Density (mol/m³),Shear Viscosity (Pa·s)
1.967895160502573,8.285041787586817,0.38% Multi-wall carbon nanotubes/Poly(butylene)
2.9136482890308613,8.532665039724384,0.38% Multi-wall carbon nanotubes/Poly(butylene)
3.7105920051188024,8.536400637754372,0.38% Multi-wall carbon nanotubes/Poly(butylene)
6.032442047258854,8.371521545541032,0.38% Multi-wall carbon nanotubes/Poly(butylene)
8.081767817899175,7.996752801615504,0.38% Multi-wall carbon nanotubes/Poly(butylene)
1.967895160502573,5.096897313517938,0.93% Multi-wall carbon nanotubes/Poly(butylene)
2.9136482890308613,4.988995791147208,0.93% Multi-wall carbon nanotubes/Poly(butylene)
3.7105920051188024,5.224613509910985,0.93% Multi-wall carbon nanotubes/Poly(butylene)
6.032442047258854,4.872481348895226,0.93% Multi-wall carbon nanotubes/Poly(butylene)
8.081767817899175,4.874707017485623,0.93% Multi-wall carbon nanotubes/Poly(butylene)
