Ultrasound Time (min),Degradation Temperature (°C)
2.0016678189254455,-7.158853617430415,0.23% Lead(II) sulfide
5.60657286014721,-7.368043444454011,0.23% Lead(II) sulfide
5.841724589252695,-7.409694458518841,0.23% Lead(II) sulfide
11.186222603202456,-7.5398515600379366,0.23% Lead(II) sulfide
18.01732389425715,-7.569908991898894,0.23% Lead(II) sulfide
2.0016678189254455,3.911522998844192,0.39% Lead(II) sulfide
5.60657286014721,4.6221683022554085,0.39% Lead(II) sulfide
5.841724589252695,5.035518488814027,0.39% Lead(II) sulfide
11.186222603202456,5.311748042398424,0.39% Lead(II) sulfide
18.01732389425715,3.4405173771227116,0.39% Lead(II) sulfide
2.0016678189254455,-4.43140032042005,0.73% Lead(II) sulfide
5.60657286014721,-4.866843804699906,0.73% Lead(II) sulfide
5.841724589252695,-4.893746543748044,0.73% Lead(II) sulfide
11.186222603202456,-5.096175395695998,0.73% Lead(II) sulfide
18.01732389425715,-5.254460476153347,0.73% Lead(II) sulfide
2.0016678189254455,-6.794834569587237,0.21% Lead(II) sulfide
5.60657286014721,-7.082685234601952,0.21% Lead(II) sulfide
5.841724589252695,-7.036079710770767,0.21% Lead(II) sulfide
11.186222603202456,-7.297475959720724,0.21% Lead(II) sulfide
18.01732389425715,-7.4556924511774625,0.21% Lead(II) sulfide
