Gamma Radiation Dose (Gy),X-ray Diffraction Intensity
2.4746820958716786,-5.671480012231145,Nylon 66
8.741774759214058,-6.046609420755388,Nylon 66
9.424442782999204,-6.067160636459602,Nylon 66
17.059213029700743,-6.113553189867579,Nylon 66
17.655749181548444,-6.115047154447332,Nylon 66
2.4746820958716786,8.710953585149301,PB
8.741774759214058,10.721689303423975,PB
9.424442782999204,11.46047156214265,PB
17.059213029700743,12.218256689732335,PB
17.655749181548444,19.889843063170165,PB
2.4746820958716786,-3.631568697503178,PVAc
8.741774759214058,-4.029744417109875,PVAc
9.424442782999204,-4.0560766584593715,PVAc
17.059213029700743,-4.1046741109709535,PVAc
17.655749181548444,-4.106011215523336,PVAc
2.4746820958716786,7.321620960499663,PVOH
8.741774759214058,26.17619520987993,PVOH
9.424442782999204,6.204246180566102,PVOH
17.059213029700743,309.4978255374517,PVOH
17.655749181548444,186.24851481890354,PVOH
2.4746820958716786,3.0755248683960525,DGEBA Epoxy Resin
8.741774759214058,2.9053091126649884,DGEBA Epoxy Resin
9.424442782999204,2.8266644812253916,DGEBA Epoxy Resin
17.059213029700743,2.662765124878582,DGEBA Epoxy Resin
17.655749181548444,2.6415841976541197,DGEBA Epoxy Resin
