Coefficient Of Thermal Expansion (1/K),Thermal Stability (°C)
0.6360599715788062,-2.3717668416957247,0.55% ZrO2
10.77066607519056,13.987617487091542,0.55% ZrO2
12.935799838298873,66.47377699829832,0.55% ZrO2
14.050718111800354,163.83138546809587,0.55% ZrO2
19.080827995380197,624.033097463662,0.55% ZrO2
0.6360599715788062,-3.2988723490628695,0.59% ZrO2
10.77066607519056,-4.023463924978338,0.59% ZrO2
12.935799838298873,-4.042430256870581,0.59% ZrO2
14.050718111800354,-4.049153226108334,0.59% ZrO2
19.080827995380197,-4.059952552602331,0.59% ZrO2
0.6360599715788062,8.853680148431618,0.84% ZrO2
10.77066607519056,12.626129589712166,0.84% ZrO2
12.935799838298873,10.376234137147186,0.84% ZrO2
14.050718111800354,11.508072455055029,0.84% ZrO2
19.080827995380197,5.926147938078977,0.84% ZrO2
