wt%,Loss Factor
11.216926214032299,-5.835597522527614,
14.117529946686489,-5.917409598394868,
16.39746418914102,-5.953853525596251,
18.97399256670536,-6.009709402812106,
19.045691897878374,-6.006721390522706,
11.216926214032299,6.411235998147245,
14.117529946686489,6.387314016094795,
16.39746418914102,6.381339452439091,
18.97399256670536,6.377405999486771,
19.045691897878374,6.377412802095897,
11.216926214032299,5.474506952331244,
14.117529946686489,1.5000968646541626,
16.39746418914102,20.484087221671473,
18.97399256670536,10.160623607406635,
19.045691897878374,3.3151979860982523,
11.216926214032299,-1.8962079973324446,
14.117529946686489,-2.006720325806142,
16.39746418914102,-2.044074319809518,
18.97399256670536,-2.0905010777852375,
19.045691897878374,-2.079681563401123,
