Aspect Ratio,Pore Size (nm)
1.038780064821534,5.568335315056053,
4.159891316068956,5.132185871500324,
10.9022138064797,4.920175888191282,
17.769048318382133,4.884324404504495,
0,5.502034201405895,
6,4.537769278537141,
9,4.412923231784282,
16,4.354907890702768,
0,7.221451499055831,
8,11.237958640624552,
10,30.543701376974848,
15,148.42674855353889,
0.24372874579521753,7.663324259720306,
1.6684160498975698,7.3393149807062175,
8.324654344471645,10.087348726253634,
18.16013738617993,1.2297050451397196,
8,8.351530962038934,
13,8.56172642696707,
17,23.471630224363373,
18,6.832352992824167,
