wt%,Pore Size (nm)
3,-1.1724383790203845,montmorillonite/P(VDF-CTFE)
4,-1.272480028208297,montmorillonite/P(VDF-CTFE)
6,-1.32113038046815,montmorillonite/P(VDF-CTFE)
9,-1.3979675398654234,montmorillonite/P(VDF-CTFE)
13,-1.4483994059159082,montmorillonite/P(VDF-CTFE)
3,4.880728044856815,graphitic nanoplatelets/P(VDF-CTFE)
4,4.96912044448046,graphitic nanoplatelets/P(VDF-CTFE)
6,4.799189301057146,graphitic nanoplatelets/P(VDF-CTFE)
9,4.596223444308733,graphitic nanoplatelets/P(VDF-CTFE)
13,4.497900503394993,graphitic nanoplatelets/P(VDF-CTFE)
3,-6.63994269869316,Calcium Carbonate/P(VDF-CTFE)
4,-6.831285873629851,Calcium Carbonate/P(VDF-CTFE)
6,-6.647597407343372,Calcium Carbonate/P(VDF-CTFE)
9,-6.944839251577243,Calcium Carbonate/P(VDF-CTFE)
13,-7.034998341547568,Calcium Carbonate/P(VDF-CTFE)
