Calcination Time (h),Pore Volume (cm³/g)
2,-5.711651353259886,
10,-6.2241612471602314,
13,-6.254166153227743,
17,-6.269189995121797,
18,-6.270538321678332,
2,3.1917786681937423,
10,2.7208514409721962,
13,2.6895130298067915,
17,2.6750804789799534,
18,2.673557963704374,
2,5.629479596317654,
10,4.973804603824736,
13,4.9437235371798005,
17,4.92993930725099,
18,4.928231281218529,
2,1.9924234244049552,
10,1.5795272615081295,
13,1.4871576831385838,
17,1.398047127994459,
18,1.382914932419745,
