Degradation Temperature (°C),Remanence (A/m)
2.877629185255426,-5.646310906227966,0.23% cellulose nanowhiskers
13.367572088966838,-6.026101544126136,0.23% cellulose nanowhiskers
15.633675153878663,-6.032627023174487,0.23% cellulose nanowhiskers
2.877629185255426,-4.3332237785924725,0.53% cellulose nanowhiskers
13.367572088966838,-4.662005001251751,0.53% cellulose nanowhiskers
15.633675153878663,-4.668961610981649,0.53% cellulose nanowhiskers
2.877629185255426,8.060507401895803,0.16% cellulose nanowhiskers
13.367572088966838,8.587288327532468,0.16% cellulose nanowhiskers
15.633675153878663,7.901633819884866,0.16% cellulose nanowhiskers
2.877629185255426,7.962061471553121,0.71% cellulose nanowhiskers
13.367572088966838,7.5441608894707395,0.71% cellulose nanowhiskers
15.633675153878663,7.534725837670929,0.71% cellulose nanowhiskers
2.877629185255426,-0.9998099236502559,0.48% cellulose nanowhiskers
13.367572088966838,-1.6581065588510104,0.48% cellulose nanowhiskers
15.633675153878663,-1.6912952897486528,0.48% cellulose nanowhiskers
