pH,Thermal Conductivity (W/(m·K))
2,-0.48741178787763273,0.8% Paraffin oil
5,2.570612122735917,0.8% Paraffin oil
9,24.7607271471536,0.8% Paraffin oil
2,-4.857039506534889,0.25% Paraffin oil
5,-5.06929045150222,0.25% Paraffin oil
9,-5.255202278832943,0.25% Paraffin oil
2,5.547441001994512,0.29% Paraffin oil
5,5.005674664020089,0.29% Paraffin oil
9,8.814153725822885,0.29% Paraffin oil
2,-1.265334622335946,0.94% Paraffin oil
5,-1.3922452504301785,0.94% Paraffin oil
9,-1.5965486498418977,0.94% Paraffin oil
2,4.235260631459622,0.54% Paraffin oil
5,5.334866981216264,0.54% Paraffin oil
9,5.363732911983797,0.54% Paraffin oil
