Ion Beam Dose (Gy),Compression Strength (MPa)
1.9092253461096154,1.293729617796098,PTFE
3.8976434935791726,1.275804020670958,PTFE
5.526378995496993,0.5368210868922099,PTFE
8.101790713712846,2.380483481752565,PTFE
8.117678440125587,2.8121931098994457,PTFE
1.9092253461096154,2.939022484108113,Poly(ethylene glycol)
3.8976434935791726,5.707925087996011,Poly(ethylene glycol)
5.526378995496993,5.059925441163218,Poly(ethylene glycol)
8.101790713712846,12.604256561292315,Poly(ethylene glycol)
8.117678440125587,6.8284269794106525,Poly(ethylene glycol)
1.9092253461096154,7.776490565413184,PAA
3.8976434935791726,7.53725299482778,PAA
5.526378995496993,7.437801346074129,PAA
8.101790713712846,7.360086143691427,PAA
8.117678440125587,7.37522797240839,PAA
1.9092253461096154,8.59044623014377,PEO
3.8976434935791726,10.06285570520035,PEO
5.526378995496993,15.394608006173897,PEO
8.101790713712846,25.07180358199664,PEO
8.117678440125587,26.735620764220243,PEO
1.9092253461096154,3.9029452388681563,S-SEBS
3.8976434935791726,3.7218310732415154,S-SEBS
5.526378995496993,3.6735669372337045,S-SEBS
8.101790713712846,3.5517867928036604,S-SEBS
8.117678440125587,3.5488935443137524,S-SEBS
