Softening Temperature (°C),Pore Size (nm)
2.440701522302917,-5.205989177817591,0.27% expanded graphite/TGPAP
2.916060291413638,-4.848632895448199,0.27% expanded graphite/TGPAP
16.58210983523357,-3.433309069849916,0.27% expanded graphite/TGPAP
2.440701522302917,-0.6673011583961266,0.44% expanded graphite/TGPAP
2.916060291413638,-0.09871773414986951,0.44% expanded graphite/TGPAP
16.58210983523357,10.762029640729951,0.44% expanded graphite/TGPAP
2.440701522302917,-6.75928438096628,0.18% expanded graphite/TGPAP
2.916060291413638,-6.613240814994985,0.18% expanded graphite/TGPAP
16.58210983523357,0.578059677844001,0.18% expanded graphite/TGPAP
2.440701522302917,1.3110151699096877,0.41% expanded graphite/TGPAP
2.916060291413638,3.1141473174932015,0.41% expanded graphite/TGPAP
16.58210983523357,155.86261192869972,0.41% expanded graphite/TGPAP
