Synthesis Time (min),Melting Temperature (°C)
5,4.803442129790368,0.07% CCTO ceramics
11,40.50452683752008,0.07% CCTO ceramics
12,12.96982005125839,0.07% CCTO ceramics
5,6.9075153077035925,0.31% CCTO ceramics
11,26.11140737131719,0.31% CCTO ceramics
12,22.412111838975495,0.31% CCTO ceramics
5,6.682792437044104,0.47% CCTO ceramics
11,7.287411883951497,0.47% CCTO ceramics
12,7.861470431095418,0.47% CCTO ceramics
5,4.751890207273666,0.47% CCTO ceramics
11,9.758337513122315,0.47% CCTO ceramics
12,59.57926470110069,0.47% CCTO ceramics
5,4.107050858971249,0.15% CCTO ceramics
11,41.454873843844766,0.15% CCTO ceramics
12,28.194196942048016,0.15% CCTO ceramics
