pH,Viscosity (Pa·s)
5,7.699429242656628,0.95% montmorillonite
11,7.480362072802659,0.95% montmorillonite
17,7.446540916723157,0.95% montmorillonite
19,7.443933756254641,0.95% montmorillonite
5,2.3778038029411572,0.51% montmorillonite
11,2.0104813235640773,0.51% montmorillonite
17,1.8655249729701786,0.51% montmorillonite
19,1.8290042585237074,0.51% montmorillonite
5,6.152791869727065,0.12% montmorillonite
11,7.229963959685023,0.12% montmorillonite
17,10.238757017471347,0.12% montmorillonite
19,19.784439203284716,0.12% montmorillonite
