Hardness (HV),Glass Transition Temperature (°C)
4.138671810831848,2.2584359170702184,0.92% Fluorine mica/BR
5.027325795126845,3.8997199996351064,0.92% Fluorine mica/BR
8.397761445390996,16.205112942412278,0.92% Fluorine mica/BR
16.19327643373677,135.30519966484084,0.92% Fluorine mica/BR
4.138671810831848,1.1157788623872444,0.17% Fluorine mica/BR
5.027325795126845,2.8896080410118654,0.17% Fluorine mica/BR
8.397761445390996,1.8298214466545335,0.17% Fluorine mica/BR
16.19327643373677,5.827584342402529,0.17% Fluorine mica/BR
4.138671810831848,-3.131681883257464,0.42% Fluorine mica/BR
5.027325795126845,-3.1513906747141105,0.42% Fluorine mica/BR
8.397761445390996,-3.2891215507831517,0.42% Fluorine mica/BR
16.19327643373677,-3.3749946442700143,0.42% Fluorine mica/BR
4.138671810831848,-5.66458492087315,0.43% Fluorine mica/BR
5.027325795126845,-5.819129527623674,0.43% Fluorine mica/BR
8.397761445390996,-6.930767157920236,0.43% Fluorine mica/BR
16.19327643373677,1.6277984765584197,0.43% Fluorine mica/BR
4.138671810831848,5.434126623454494,0.69% Fluorine mica/BR
5.027325795126845,4.726501676969908,0.69% Fluorine mica/BR
8.397761445390996,16.811090297527173,0.69% Fluorine mica/BR
16.19327643373677,338.0895205079449,0.69% Fluorine mica/BR
