Holding Time (min),Electric Field Strength (V/m)
0.8555755765831119,-5.802972406833226,0.36% Molybdenum disulfide
2.3394644304027445,-5.067465648270268,0.36% Molybdenum disulfide
7.9587282910420765,-4.155133463961309,0.36% Molybdenum disulfide
10.279009223946204,-1.874268405747232,0.36% Molybdenum disulfide
17.139937979656203,-2.0016700088270474,0.36% Molybdenum disulfide
19.935204276755883,5.034783006595379,0.36% Molybdenum disulfide
0.8555755765831119,-3.2210816061746543,0.14% Molybdenum disulfide
2.3394644304027445,-2.77448293886618,0.14% Molybdenum disulfide
7.9587282910420765,-1.0538680732540513,0.14% Molybdenum disulfide
10.279009223946204,-3.643490424430549,0.14% Molybdenum disulfide
17.139937979656203,-6.910223185158773,0.14% Molybdenum disulfide
19.935204276755883,-3.1610049291244664,0.14% Molybdenum disulfide
0.8555755765831119,7.669809035546681,0.74% Molybdenum disulfide
2.3394644304027445,8.274884045038945,0.74% Molybdenum disulfide
7.9587282910420765,16.149802805248598,0.74% Molybdenum disulfide
10.279009223946204,35.54238147569571,0.74% Molybdenum disulfide
17.139937979656203,54.604651772244736,0.74% Molybdenum disulfide
19.935204276755883,-199.8935679245619,0.74% Molybdenum disulfide
0.8555755765831119,8.10988859715727,0.85% Molybdenum disulfide
2.3394644304027445,7.901033790469709,0.85% Molybdenum disulfide
7.9587282910420765,7.621525874446568,0.85% Molybdenum disulfide
10.279009223946204,7.636784332938205,0.85% Molybdenum disulfide
17.139937979656203,7.480743956021758,0.85% Molybdenum disulfide
19.935204276755883,7.432584736810524,0.85% Molybdenum disulfide
0.8555755765831119,1.9447427196160927,0.9% Molybdenum disulfide
2.3394644304027445,1.52204997005029,0.9% Molybdenum disulfide
7.9587282910420765,1.2261267167093062,0.9% Molybdenum disulfide
10.279009223946204,1.2089230510683189,0.9% Molybdenum disulfide
17.139937979656203,1.0302167380235525,0.9% Molybdenum disulfide
19.935204276755883,0.9827394398441778,0.9% Molybdenum disulfide
