Tensile Strength (MPa),Poisson’s Ratio
1.6565690711007175,7.657617818750079,barium titanate/PTFCE
2.902063447713441,7.338594080056044,barium titanate/PTFCE
9.317060978826497,9.192075466133915,barium titanate/PTFCE
12.746113209970833,11.514415001586963,barium titanate/PTFCE
17.285146504744628,9.16769542226076,barium titanate/PTFCE
18.635777100482784,14.719992184861248,barium titanate/PTFCE
1.6565690711007175,-3.2334610478999277,silver/PTFCE
2.902063447713441,-3.317643162235114,silver/PTFCE
9.317060978826497,-3.615545471531955,silver/PTFCE
12.746113209970833,-3.737781835848045,silver/PTFCE
17.285146504744628,-3.8553986467935744,silver/PTFCE
18.635777100482784,-3.8823757837300854,silver/PTFCE
1.6565690711007175,-4.182678735528198,Polyaniline/PTFCE
2.902063447713441,-3.583431213127615,Polyaniline/PTFCE
9.317060978826497,-0.9532425457468126,Polyaniline/PTFCE
12.746113209970833,-0.31829174158419793,Polyaniline/PTFCE
17.285146504744628,5.686220859980358,Polyaniline/PTFCE
18.635777100482784,7.93021153892086,Polyaniline/PTFCE
1.6565690711007175,5.721545541521131,Multi-wall carbon nanotubes/PTFCE
2.902063447713441,5.622547864382642,Multi-wall carbon nanotubes/PTFCE
9.317060978826497,5.221279891877547,Multi-wall carbon nanotubes/PTFCE
12.746113209970833,5.185205740332867,Multi-wall carbon nanotubes/PTFCE
17.285146504744628,5.167337218083892,Multi-wall carbon nanotubes/PTFCE
18.635777100482784,5.165766356823109,Multi-wall carbon nanotubes/PTFCE
1.6565690711007175,0.6342439239237032,alumina/PTFCE
2.902063447713441,0.2967622843555775,alumina/PTFCE
9.317060978826497,0.10016999637314733,alumina/PTFCE
12.746113209970833,-0.017246901216276755,alumina/PTFCE
17.285146504744628,-0.1213560564242758,alumina/PTFCE
18.635777100482784,-0.1522458153676675,alumina/PTFCE
