Crosslinking Density (mol/m³),Saturation Magnetization (A/m)
0.2660507682899471,3.3655535385350555,0.21% Gold/PB-1
14.994881601670446,-34.78246678346704,0.21% Gold/PB-1
17.89338706078624,-174.12736721079972,0.21% Gold/PB-1
0.2660507682899471,-6.521376593850733,0.7% Gold/PB-1
14.994881601670446,122.5070188498606,0.7% Gold/PB-1
17.89338706078624,761.4736188720108,0.7% Gold/PB-1
0.2660507682899471,-0.8312742299874079,0.71% Gold/PB-1
14.994881601670446,-1.8310399477612782,0.71% Gold/PB-1
17.89338706078624,-1.8389812016459735,0.71% Gold/PB-1
0.2660507682899471,-4.676279308507662,0.6% Gold/PB-1
14.994881601670446,-5.607144757038154,0.6% Gold/PB-1
17.89338706078624,-5.665876946027734,0.6% Gold/PB-1
