Particle Size (nm),Heat Capacity (J/K)
2.0483427893794937,-1.7444211101046374,0.58% Silicon carbide
3.3787411866972206,-2.002071403172564,0.58% Silicon carbide
16.009698672180278,1.2230475300522965,0.58% Silicon carbide
18.15776971747582,6.20301699740469,0.58% Silicon carbide
2.0483427893794937,-1.2971470259608464,0.1% Silicon carbide
3.3787411866972206,-1.3504942340390969,0.1% Silicon carbide
16.009698672180278,-1.841200967993692,0.1% Silicon carbide
18.15776971747582,-1.8692611560994672,0.1% Silicon carbide
2.0483427893794937,-5.979832809232739,0.23% Silicon carbide
3.3787411866972206,-4.647983092692989,0.23% Silicon carbide
16.009698672180278,77.22654614736904,0.23% Silicon carbide
18.15776971747582,393.73487729512266,0.23% Silicon carbide
2.0483427893794937,-4.562572615864647,0.21% Silicon carbide
3.3787411866972206,-4.842717678206727,0.21% Silicon carbide
16.009698672180278,-5.115317536220578,0.21% Silicon carbide
18.15776971747582,-5.119176677398229,0.21% Silicon carbide
2.0483427893794937,-2.0822541967036505,0.83% Silicon carbide
3.3787411866972206,-2.1329318278081666,0.83% Silicon carbide
16.009698672180278,-2.506515062463467,0.83% Silicon carbide
18.15776971747582,-2.5108177690251825,0.83% Silicon carbide
