Volume Fraction,Oxidation Potential (V)
6.514670301025182,12.926298745348642,PTrFE
10.09769813460029,36.20437010281232,PTrFE
17.650060951893842,443.39600699504564,PTrFE
11,-5.462405439431672,BECy
12,-5.472401665739474,BECy
16,-5.493344958621442,BECy
6,-6.2065072806530726,PGMA
8,-6.275202352555336,PGMA
11,-6.335090138538643,PGMA
11.720202936660293,-6.979316198089953,Poly(glycidyl methacrylate)
17.865309556378367,-7.0949496645760695,Poly(glycidyl methacrylate)
18.316387818127723,-7.110873791473463,Poly(glycidyl methacrylate)
