Polymer Molecular Weight (g/mol),Tg (°C)
2,2.6530476124550133,Polybutylene succinate
4,1.5439614434811446,Polybutylene succinate
6,5.879310766610217,Polybutylene succinate
7,5.816592083657232,Polybutylene succinate
10,10.646938080541513,Polybutylene succinate
6,0.21867264648602977,VER
9,0.1190186507538471,VER
10,0.10227535727795936,VER
12,0.07722410513750068,VER
19,0.054507789537185776,VER
3.094413965277656,8.26822092116784,PETE
7.961407171940957,7.983332883528796,PETE
12.859940430464833,7.918679154976965,PETE
14.070432018499115,7.911666502010601,PETE
15.412825257974834,7.906742312201012,PETE
