Drying Time (h),Saturation Magnetization (A/m)
3.0665077197310486,-2.6811434263465603,0.87% Titanium dioxide
4.5514256636312815,1.4941839621240476,0.87% Titanium dioxide
18.0278916319765,12.280537896672556,0.87% Titanium dioxide
3.0665077197310486,-2.790808783226958,0.04% Titanium dioxide
4.5514256636312815,-2.162573148880597,0.04% Titanium dioxide
18.0278916319765,2.634881298155623,0.04% Titanium dioxide
3.0665077197310486,6.748359296213023,0.56% Titanium dioxide
4.5514256636312815,8.35470914570049,0.56% Titanium dioxide
18.0278916319765,683.9997458378522,0.56% Titanium dioxide
3.0665077197310486,10.055234152813465,0.94% Titanium dioxide
4.5514256636312815,11.763104793255021,0.94% Titanium dioxide
18.0278916319765,222.80922613869325,0.94% Titanium dioxide
3.0665077197310486,-1.8446143372041137,0.32% Titanium dioxide
4.5514256636312815,-1.9731145304558186,0.32% Titanium dioxide
18.0278916319765,-2.359385643466612,0.32% Titanium dioxide
