Synthesis Time (min),Thermal Expansion (1/K)
0.41665041056738295,2.699742216335429,PAN/DGEBA Epoxy Resin
4.341305867214286,5.022140315275255,PAN/DGEBA Epoxy Resin
5.042771909155204,7.948172632649902,PAN/DGEBA Epoxy Resin
11.834876122927502,38.656660700156046,PAN/DGEBA Epoxy Resin
17.193191066466255,235.55384298280566,PAN/DGEBA Epoxy Resin
0.41665041056738295,7.331484274668494,Titanium dioxide/DGEBA Epoxy Resin
4.341305867214286,9.506185784955447,Titanium dioxide/DGEBA Epoxy Resin
5.042771909155204,10.908080672175604,Titanium dioxide/DGEBA Epoxy Resin
11.834876122927502,72.20754050587638,Titanium dioxide/DGEBA Epoxy Resin
17.193191066466255,-147.30747431495973,Titanium dioxide/DGEBA Epoxy Resin
0.41665041056738295,-6.1389220290910655,SiC powder/DGEBA Epoxy Resin
4.341305867214286,-4.85877510749126,SiC powder/DGEBA Epoxy Resin
5.042771909155204,-3.166351977179372,SiC powder/DGEBA Epoxy Resin
11.834876122927502,4.620037994591552,SiC powder/DGEBA Epoxy Resin
17.193191066466255,577.4122404196503,SiC powder/DGEBA Epoxy Resin
