Shear Rate (1/s),Thermal Stability (°C)
0.4816279896183828,-1.4400287321326362,0.52% C60
7.8293413602234345,-1.8548850935716823,0.52% C60
10.810333125956912,-1.909886863116004,0.52% C60
0.4816279896183828,4.739438300734781,0.49% C60
7.8293413602234345,4.0371789722053215,0.49% C60
10.810333125956912,3.981251100178761,0.49% C60
0.4816279896183828,-5.675285317185891,0.71% C60
7.8293413602234345,-6.249937390464007,0.71% C60
10.810333125956912,-6.321592440305608,0.71% C60
0.4816279896183828,-3.753143425948771,0.45% C60
7.8293413602234345,-1.1078350115081337,0.45% C60
10.810333125956912,-0.09386507505885255,0.45% C60
