Crystallinity (%),Crystallinity (%)
13,4.424345134027935,0.82% Lamp black
16,4.409988853328831,0.82% Lamp black
17,4.407893794239471,0.82% Lamp black
19,4.405166099493578,0.82% Lamp black
13,-1.5662704495414883,0.13% Lamp black
16,-1.57839046107878,0.13% Lamp black
17,-1.580303539773314,0.13% Lamp black
19,-1.5831085963963771,0.13% Lamp black
13,8.249413464663421,0.1% Lamp black
16,8.16019789060152,0.1% Lamp black
17,8.159648858585784,0.1% Lamp black
19,8.11595206456756,0.1% Lamp black
13,64.90862977943499,0.87% Lamp black
16,434.3989798798814,0.87% Lamp black
17,422.74651709928355,0.87% Lamp black
19,233.6306911183148,0.87% Lamp black
