Specific Heat Capacity (J/(g·K)),Impact Strength (kJ/m²)
1,4.348652598747325,Fluorine mica/Poly(methyl acrylate)
10,6.216954675510045,Fluorine mica/Poly(methyl acrylate)
13,4.876787290381877,Fluorine mica/Poly(methyl acrylate)
14,14.589250474934804,Fluorine mica/Poly(methyl acrylate)
16,8.74188230984588,Fluorine mica/Poly(methyl acrylate)
19,1.268717360389502,Fluorine mica/Poly(methyl acrylate)
1,8.152128581724803,Morrocan montmorillonite/Poly(methyl acrylate)
10,10.428964631632443,Morrocan montmorillonite/Poly(methyl acrylate)
13,8.443374763788155,Morrocan montmorillonite/Poly(methyl acrylate)
14,14.864197710184342,Morrocan montmorillonite/Poly(methyl acrylate)
16,11.914696217490832,Morrocan montmorillonite/Poly(methyl acrylate)
19,8.842122388067509,Morrocan montmorillonite/Poly(methyl acrylate)
1,-0.9926651166111439,MgO/Poly(methyl acrylate)
10,9.208108927068528,MgO/Poly(methyl acrylate)
13,57.73677018988352,MgO/Poly(methyl acrylate)
14,-0.2812021405488938,MgO/Poly(methyl acrylate)
16,128.95826623245415,MgO/Poly(methyl acrylate)
19,-200.29158437234,MgO/Poly(methyl acrylate)
