Light Intensity (W/m²),Degradation Temperature (°C)
0.3209398400292396,-0.3573582924108727,0.98% Molybdenum disulfide/FKM
7.568254497752324,-0.8944770267214914,0.98% Molybdenum disulfide/FKM
8.909005956598811,-0.9119315412877795,0.98% Molybdenum disulfide/FKM
14.132765104575029,-1.039852587627982,0.98% Molybdenum disulfide/FKM
15.96889967541429,-1.0928135811508506,0.98% Molybdenum disulfide/FKM
0.3209398400292396,0.10122284735279985,0.75% Molybdenum disulfide/FKM
7.568254497752324,10.516199340195772,0.75% Molybdenum disulfide/FKM
8.909005956598811,8.024203954819605,0.75% Molybdenum disulfide/FKM
14.132765104575029,64.40496981754082,0.75% Molybdenum disulfide/FKM
15.96889967541429,380.22922619805433,0.75% Molybdenum disulfide/FKM
0.3209398400292396,8.432433731175479,0.59% Molybdenum disulfide/FKM
7.568254497752324,7.6880436139255774,0.59% Molybdenum disulfide/FKM
8.909005956598811,7.658954047954103,0.59% Molybdenum disulfide/FKM
14.132765104575029,7.6030912385665115,0.59% Molybdenum disulfide/FKM
15.96889967541429,7.597822927537629,0.59% Molybdenum disulfide/FKM
