Synthesis Time (min),Adhesion Strength (MPa)
0,6.734779848579529,Fullerene/Poly-trifluoroethylene
10,25.9234944470955,Fullerene/Poly-trifluoroethylene
18,600.5754689822174,Fullerene/Poly-trifluoroethylene
19,914.2001094531666,Fullerene/Poly-trifluoroethylene
0,-5.6766812658779555,BaTiO3/Poly-trifluoroethylene
10,-6.268000431079309,BaTiO3/Poly-trifluoroethylene
18,-6.467475842476561,BaTiO3/Poly-trifluoroethylene
19,-6.48540807376729,BaTiO3/Poly-trifluoroethylene
0,3.7938288922707555,exfoliated graphite/Poly-trifluoroethylene
10,7.005758206647217,exfoliated graphite/Poly-trifluoroethylene
18,17.270285534312016,exfoliated graphite/Poly-trifluoroethylene
19,15.293368399834288,exfoliated graphite/Poly-trifluoroethylene
0,-3.094388930618397,MMT/Poly-trifluoroethylene
10,-0.2896829337836593,MMT/Poly-trifluoroethylene
18,-2.0363070818384372,MMT/Poly-trifluoroethylene
19,6.179898631650067,MMT/Poly-trifluoroethylene
0,-0.7210499378734815,Clay/Poly-trifluoroethylene
10,-1.1270524971921283,Clay/Poly-trifluoroethylene
18,-1.3257400046472008,Clay/Poly-trifluoroethylene
19,-1.3363068595741088,Clay/Poly-trifluoroethylene
