Synthesis Time (min),Bet Surface Area
12.076397514417433,1.6503240671335844,0.52% high abrasion furnace black
13.132120501165812,-3.304039841839608,0.52% high abrasion furnace black
14.03564645653091,-5.1003093367780155,0.52% high abrasion furnace black
14.926270882567184,111.17644909738004,0.02% high abrasion furnace black
16.221350547386628,131.2833974625853,0.02% high abrasion furnace black
17.68402217032567,197.0037410381399,0.02% high abrasion furnace black
4,-1.5680263269839518,0.37% high abrasion furnace black
6,-0.8312030906536303,0.37% high abrasion furnace black
10,-0.07389515622764353,0.37% high abrasion furnace black
2.9972522804950796,4.7299500369757475,0.03% high abrasion furnace black
5.544686306556725,5.116474117314538,0.03% high abrasion furnace black
18.852728504852948,5.266462511740608,0.03% high abrasion furnace black
7,3.8025575448702416,0.79% high abrasion furnace black
8,5.448644061246769,0.79% high abrasion furnace black
19,14.828402250491218,0.79% high abrasion furnace black
