Mixing Time (min),Surface Area (m²/g)
0,6.23456229721927,Poly(vinyl chloride)
1,6.59368576163801,Poly(vinyl chloride)
7,7.820658649361473,Poly(vinyl chloride)
8,5.248044189259698,Poly(vinyl chloride)
0,-5.431458638459509,UPR
1,-5.913805222112989,UPR
7,-6.331864491184071,UPR
8,-6.362743910517602,UPR
0,4.467518966877499,Poly(ethyl methacrylate)
1,4.277382727138489,Poly(ethyl methacrylate)
7,3.9851446511804327,Poly(ethyl methacrylate)
8,3.9037900296418715,Poly(ethyl methacrylate)
0,-3.0028080378100404,Nylon 12
1,-2.58319420836223,Nylon 12
7,-1.3906919929162491,Nylon 12
8,0.8566908034695402,Nylon 12
