Calcination Time (h),Electrical Resistivity (Ω·m)
4,-3.758355155166583,Titanate nanotubes/Poly(vinyl butyral)
9,-3.949186743587791,Titanate nanotubes/Poly(vinyl butyral)
16,-4.166404024716271,Titanate nanotubes/Poly(vinyl butyral)
19,-4.224887828428772,Titanate nanotubes/Poly(vinyl butyral)
4,1.9985815144621926,MoS2/Poly(vinyl butyral)
9,1.8035075823885065,MoS2/Poly(vinyl butyral)
16,1.7390028448411106,MoS2/Poly(vinyl butyral)
19,1.7340407186385516,MoS2/Poly(vinyl butyral)
4,3.094293748745266,montmorillonite K-10/Poly(vinyl butyral)
9,2.774739751694181,montmorillonite K-10/Poly(vinyl butyral)
16,2.7160355571832158,montmorillonite K-10/Poly(vinyl butyral)
19,2.711698314800455,montmorillonite K-10/Poly(vinyl butyral)
4,-5.034309282943422, Graphite/Poly(vinyl butyral)
9,-5.295953047618069, Graphite/Poly(vinyl butyral)
16,-5.353592476233968, Graphite/Poly(vinyl butyral)
19,-5.359076814866243, Graphite/Poly(vinyl butyral)
