Frequency (Hz),Dielectric Loss
5,11.017701896380782,dodecylbenzene sulfonic acid/PαMS
9,22.705171935444177,dodecylbenzene sulfonic acid/PαMS
13,8.78160998063097,dodecylbenzene sulfonic acid/PαMS
5,6.270815458067385,OMLS/PαMS
9,7.415534068245487,OMLS/PαMS
13,11.788431185329621,OMLS/PαMS
5,3.7308483684940246,Al2O3/PαMS
9,3.7721951917779992,Al2O3/PαMS
13,1.3134151701631778,Al2O3/PαMS
5,-0.988335538761616,Copper(II) phenyl phosphate/PαMS
9,-1.1806224960507241,Copper(II) phenyl phosphate/PαMS
13,-1.3228053008742924,Copper(II) phenyl phosphate/PαMS
