Incubation Time (h),Reduction Potential (V)
2,1.749467909160844,0.71% White spirits/PA 6T
4,2.216644614597646,0.71% White spirits/PA 6T
8,3.5308379936948793,0.71% White spirits/PA 6T
9,2.4349694142453826,0.71% White spirits/PA 6T
14,2.5446413469567375,0.71% White spirits/PA 6T
2,2.1469852975264114,0.48% White spirits/PA 6T
4,1.8586836301624716,0.48% White spirits/PA 6T
8,1.6671430991288205,0.48% White spirits/PA 6T
9,1.6350248510498278,0.48% White spirits/PA 6T
14,1.5857970894804159,0.48% White spirits/PA 6T
