Time (s),Zeta Potential (mV)
2,6.246852322517369,0.59% nanosilica
4,6.182143808803789,0.59% nanosilica
5,6.141528065864529,0.59% nanosilica
7,5.8610532095746946,0.59% nanosilica
9,5.876607695543583,0.59% nanosilica
19,5.576361912219117,0.59% nanosilica
2,-0.7588143449722933,0.97% nanosilica
4,-1.1307787495629245,0.97% nanosilica
5,-1.1489431672890522,0.97% nanosilica
7,-1.2455837612235214,0.97% nanosilica
9,-1.322579820246878,0.97% nanosilica
19,-1.5475427439052927,0.97% nanosilica
2,-3.4163823876273995,0.72% nanosilica
4,-3.470038187988342,0.72% nanosilica
5,-3.5487237585396696,0.72% nanosilica
7,-3.623696571919511,0.72% nanosilica
9,-3.7471549885929822,0.72% nanosilica
19,-3.9966216265239476,0.72% nanosilica
2,3.3693757420359938,0.19% nanosilica
4,3.172603846249563,0.19% nanosilica
5,3.2015106130529487,0.19% nanosilica
7,2.943173198010027,0.19% nanosilica
9,2.92734307758949,0.19% nanosilica
19,2.6827934797619823,0.19% nanosilica
2,4.238756151143628,0.69% nanosilica
4,5.1881689860223155,0.69% nanosilica
5,7.38159981703543,0.69% nanosilica
7,6.383132255306828,0.69% nanosilica
9,13.5809483943248,0.69% nanosilica
19,427.10554199179694,0.69% nanosilica
