Stirring Speed (rpm),Thermal Expansion (1/K)
0,8.288520915979518,aPP
1,8.252387583821974,aPP
7,9.757747795881357,aPP
10,11.687573679515868,aPP
19,25.071956097169902,aPP
0,4.153301370396612,EPDM rubber
1,4.668037502430354,EPDM rubber
7,20.98178981748889,EPDM rubber
10,21.163140437507533,EPDM rubber
19,517.8977654825412,EPDM rubber
0,-4.032857961384526,P(VDF-TrFE-CTFE)
1,-4.200673012153982,P(VDF-TrFE-CTFE)
7,-4.8581784987403225,P(VDF-TrFE-CTFE)
10,-4.927536979103006,P(VDF-TrFE-CTFE)
19,-4.969382957390293,P(VDF-TrFE-CTFE)
