Particle Diameter (nm),Thermal Resistance (K/W)
1.3720494231085323,-4.268621567612033,0.75% White spirits
8.073278246850242,-4.844717918682859,0.75% White spirits
17.43210100988516,-4.942150123720856,0.75% White spirits
7.025854891292729,-1.7774148848036053,0.12% White spirits
9.589345409530196,1.480141227426115,0.12% White spirits
12.199433283254585,-0.6633160384606525,0.12% White spirits
6.770250386462095,14.360199257357321,0.97% White spirits
7.550757216914503,19.15786931056869,0.97% White spirits
8.719050631788827,17.961778058535643,0.97% White spirits
4.058674269832747,11.200636671397202,0.32% White spirits
13.76036093368053,127.88477251556604,0.32% White spirits
18.764799437239294,513.4518171572261,0.32% White spirits
