Surfactant Concentration (M),Flexural Modulus (GPa)
1,-0.03079889989529727,Furnace black/Poly(alpha-methylstyrene)
2,-0.04660639202740069,Furnace black/Poly(alpha-methylstyrene)
6,-0.36468433641564757,Furnace black/Poly(alpha-methylstyrene)
12,-0.524632003388769,Furnace black/Poly(alpha-methylstyrene)
2,8.99595691920865,Montmorillonite/Poly(alpha-methylstyrene)
5,8.971170249955813,Montmorillonite/Poly(alpha-methylstyrene)
9,10.139380648022374,Montmorillonite/Poly(alpha-methylstyrene)
15,6.23380459671305,Montmorillonite/Poly(alpha-methylstyrene)
4,7.9353085522184434,Single-wall carbon nanotubes/Poly(alpha-methylstyrene)
8,7.731760161040439,Single-wall carbon nanotubes/Poly(alpha-methylstyrene)
10,7.686567353254101,Single-wall carbon nanotubes/Poly(alpha-methylstyrene)
17,7.644442102382065,Single-wall carbon nanotubes/Poly(alpha-methylstyrene)
2.847899416375903,6.649048923525993,graphite nanoplatelets/Poly(alpha-methylstyrene)
10.647862987390424,6.462348357639586,graphite nanoplatelets/Poly(alpha-methylstyrene)
14.824819475529242,6.4296575699953,graphite nanoplatelets/Poly(alpha-methylstyrene)
17.48011697798345,6.423396680876364,graphite nanoplatelets/Poly(alpha-methylstyrene)
