Incubation Time (h),Pore Size (nm)
0,3.681400101487627,PMS
4,3.1707766881374426,PMS
7,2.916831539368575,PMS
8,2.879506474214977,PMS
9,2.8652720123824187,PMS
0,-0.7158272469429722,PA 6(3)T
1,-0.8643058776533061,PA 6(3)T
3,-1.3445877305404577,PA 6(3)T
13,-1.5973504032347678,PA 6(3)T
16,-1.6084386500497618,PA 6(3)T
2.197720269939236,2.846359087581826,PDMS
10.915047456782878,2.232120261397074,PDMS
12.914544696815714,2.2114884810615196,PDMS
15.053586842068974,2.2028000795915728,PDMS
16.14241017170388,2.200239813173785,PDMS
