Calcination Temperature (°C),Saturation Magnetization (A/m)
6.18276170016297,3.031454575039041,TGDDM
7.806148291702025,2.9394098122226087,TGDDM
9.529316415091047,2.9096890158171207,TGDDM
6.18276170016297,-4.694182475419734,Poly(BA-a)
7.806148291702025,-4.760402439612094,Poly(BA-a)
9.529316415091047,-4.7981029769699335,Poly(BA-a)
6.18276170016297,0.13176671480537328,FKM
7.806148291702025,0.08780216179163405,FKM
9.529316415091047,0.026812462567973094,FKM
6.18276170016297,1.806778026164781,Poly(methyl acrylate)
7.806148291702025,14.639253296742702,Poly(methyl acrylate)
9.529316415091047,17.194423283193498,Poly(methyl acrylate)
