Frequency (Hz),Complex Modulus (Pa)
7.638904116193586,13.04816859743706,TGDDM
7.937135078821718,18.908984058584295,TGDDM
9.214509421372865,25.124868468936107,TGDDM
15.220106740484212,179.96907028210754,TGDDM
17.236269129180435,231.94117955128567,TGDDM
7.638904116193586,-3.1922986222526273,Nylon 8
7.937135078821718,-3.1960992707171365,Nylon 8
9.214509421372865,-3.2186207906723197,Nylon 8
15.220106740484212,-3.277372080900856,Nylon 8
17.236269129180435,-3.282221731664436,Nylon 8
7.638904116193586,0.282963839429127,Nylon 8
7.937135078821718,0.2883217767897718,Nylon 8
9.214509421372865,0.23947308984699403,Nylon 8
15.220106740484212,0.19384193137281022,Nylon 8
17.236269129180435,0.1891145904742435,Nylon 8
