Pore Size (nm),Adhesion Strength (MPa)
4,9.371644986323709,0.54% Calcium Carbonate
7,12.21035481300196,0.54% Calcium Carbonate
10,15.330418916000442,0.54% Calcium Carbonate
13,75.59345242302034,0.54% Calcium Carbonate
15,53.96506579954508,0.54% Calcium Carbonate
4,2.673882131794178,0.31% Calcium Carbonate
7,1.391660261526372,0.31% Calcium Carbonate
10,31.40780909856586,0.31% Calcium Carbonate
13,67.0993042869613,0.31% Calcium Carbonate
15,-79.51482896786844,0.31% Calcium Carbonate
4,7.671006892065747,0.97% Calcium Carbonate
7,7.537347935143604,0.97% Calcium Carbonate
10,7.460043704268576,0.97% Calcium Carbonate
13,7.433020830132348,0.97% Calcium Carbonate
15,7.421526065359796,0.97% Calcium Carbonate
4,7.560307935369582,0.52% Calcium Carbonate
7,7.354735187262886,0.52% Calcium Carbonate
10,7.2792462307152945,0.52% Calcium Carbonate
13,7.24560466170624,0.52% Calcium Carbonate
15,7.236883840457189,0.52% Calcium Carbonate
4,-6.789042190516529,0.24% Calcium Carbonate
7,-6.864267588594555,0.24% Calcium Carbonate
10,-7.002277083953466,0.24% Calcium Carbonate
13,-7.09281276677962,0.24% Calcium Carbonate
15,-7.158629759539254,0.24% Calcium Carbonate
