Surfactant Concentration (M),Crystallization Temperature (°C)
0.915665778728636,0.8573982122369999,0.72% MWNTs
5.9137711650864695,1.7587320488002058,0.72% MWNTs
10.086312431258918,1.2105260959352049,0.72% MWNTs
18.126972015181742,12.29552714047875,0.72% MWNTs
18.557986522625466,-0.24288206647084554,0.72% MWNTs
0.915665778728636,-3.6226652090860476,0.99% MWNTs
5.9137711650864695,-4.372660106437192,0.99% MWNTs
10.086312431258918,-4.477924216032511,0.99% MWNTs
18.126972015181742,-4.519910222679522,0.99% MWNTs
18.557986522625466,-4.520320850937705,0.99% MWNTs
0.915665778728636,-3.189091432501028,0.01% MWNTs
5.9137711650864695,-3.3941910745974835,0.01% MWNTs
10.086312431258918,-3.5061097299002726,0.01% MWNTs
18.126972015181742,-3.5491825592104447,0.01% MWNTs
18.557986522625466,-3.5498581915406566,0.01% MWNTs
