Frequency (Hz),Kinematic Viscosity (mm²/s)
8.05744895417722,5.072902087108883,graphene oxide/COC
13.243563853724567,8.647696012668325,graphene oxide/COC
15.023190174677408,6.776448679128865,graphene oxide/COC
15.3543512371016,11.528342734766916,graphene oxide/COC
19.63419598152267,10.373024731037404,graphene oxide/COC
8.05744895417722,9.276136789181011,graphene platelet/COC
13.243563853724567,11.691815862186814,graphene platelet/COC
15.023190174677408,13.734434588097585,graphene platelet/COC
15.3543512371016,10.315545169435872,graphene platelet/COC
19.63419598152267,6.22317525705191,graphene platelet/COC
8.05744895417722,8.015160637898122,zirconium dioxide/COC
13.243563853724567,7.952043384070512,zirconium dioxide/COC
15.023190174677408,7.943523823472416,zirconium dioxide/COC
15.3543512371016,7.9422308397096675,zirconium dioxide/COC
19.63419598152267,7.935577257698507,zirconium dioxide/COC
8.05744895417722,-4.82492003744411,TiNT/COC
13.243563853724567,-4.4475913990616505,TiNT/COC
15.023190174677408,-8.112404372858954,TiNT/COC
15.3543512371016,2.925209662485816,TiNT/COC
19.63419598152267,-15.270946196431513,TiNT/COC
8.05744895417722,6.361101896879016,polyaniline/COC
13.243563853724567,6.170366005913083,polyaniline/COC
15.023190174677408,6.148316024420693,polyaniline/COC
15.3543512371016,6.152087273720825,polyaniline/COC
19.63419598152267,6.065877561971792,polyaniline/COC
