Heat Capacity (J/K),Zeta Potential (mV)
1.3150175250869678,-4.167994073571872,0.21% Fe3O4/PMMA-PnBA
10.924290684474629,-4.8325358227994775,0.21% Fe3O4/PMMA-PnBA
14.060472269166585,-4.903094086118186,0.21% Fe3O4/PMMA-PnBA
14.990677362563233,-4.915352761349927,0.21% Fe3O4/PMMA-PnBA
16.492447766446794,-4.969222658299713,0.21% Fe3O4/PMMA-PnBA
1.3150175250869678,0.06894256846152857,0.05% Fe3O4/PMMA-PnBA
10.924290684474629,-0.6576330442111848,0.05% Fe3O4/PMMA-PnBA
14.060472269166585,-0.6750707965423086,0.05% Fe3O4/PMMA-PnBA
14.990677362563233,-0.6801669667937724,0.05% Fe3O4/PMMA-PnBA
16.492447766446794,-0.6842241098165799,0.05% Fe3O4/PMMA-PnBA
