Drying Temperature (°C),Conductivity (S/m)
0.16246659943487174,-2.653746757201753,0.32% silica/TGDDM
3.737464288733281,-2.6616467991829156,0.32% silica/TGDDM
5.67472784673096,-2.159053009946716,0.32% silica/TGDDM
8.078802277252308,-0.723736260369404,0.32% silica/TGDDM
16.21479708646482,-1.5299359069112546,0.32% silica/TGDDM
19.79267207676341,-1.4324245986162767,0.32% silica/TGDDM
0.16246659943487174,4.410579428508834,0.07% silica/TGDDM
3.737464288733281,4.597764976874876,0.07% silica/TGDDM
5.67472784673096,4.284346871630076,0.07% silica/TGDDM
8.078802277252308,5.759693127442798,0.07% silica/TGDDM
16.21479708646482,9.387128987278508,0.07% silica/TGDDM
19.79267207676341,-6.00253854734447,0.07% silica/TGDDM
