Drying Time (h),Pore Volume (cm³/g)
2,6.700551476892032,0.44% aluminum/Poly(vinyl pyrrolidone)
5,6.340674079359903,0.44% aluminum/Poly(vinyl pyrrolidone)
6,6.374294402473173,0.44% aluminum/Poly(vinyl pyrrolidone)
12,6.0971614465697295,0.44% aluminum/Poly(vinyl pyrrolidone)
17,5.981321881921707,0.44% aluminum/Poly(vinyl pyrrolidone)
2,5.464703806353251,0.33% aluminum/Poly(vinyl pyrrolidone)
5,5.47876076402645,0.33% aluminum/Poly(vinyl pyrrolidone)
6,6.54495928971993,0.33% aluminum/Poly(vinyl pyrrolidone)
12,5.087623198880142,0.33% aluminum/Poly(vinyl pyrrolidone)
17,12.829465781569128,0.33% aluminum/Poly(vinyl pyrrolidone)
2,2.3891452445251455,0.52% aluminum/Poly(vinyl pyrrolidone)
5,2.2050468736781106,0.52% aluminum/Poly(vinyl pyrrolidone)
6,2.1419168648399394,0.52% aluminum/Poly(vinyl pyrrolidone)
12,2.005110456433127,0.52% aluminum/Poly(vinyl pyrrolidone)
17,1.9839503425893947,0.52% aluminum/Poly(vinyl pyrrolidone)
