Particle Density,Adhesion Strength (MPa)
6,-3.2615380601087534,0.17% Calcium carbonate
10,-0.938394608209641,0.17% Calcium carbonate
15,5.441591605844293,0.17% Calcium carbonate
6,3.4799258860048594,0.96% Calcium carbonate
10,6.549907363126141,0.96% Calcium carbonate
15,5.535520302237658,0.96% Calcium carbonate
6,0.9339966954718895,0.01% Calcium carbonate
10,4.15813884044703,0.01% Calcium carbonate
15,0.5732127226406316,0.01% Calcium carbonate
6,6.198222234567615,0.34% Calcium carbonate
10,6.15795262862035,0.34% Calcium carbonate
15,5.976675202951744,0.34% Calcium carbonate
6,9.214937837011249,0.71% Calcium carbonate
10,7.0492563746756876,0.71% Calcium carbonate
15,12.31022638856743,0.71% Calcium carbonate
