Holding Time (min),Tensile Modulus (GPa)
0.35806861788390654,4.926107909992259,Poly(acrylic acid)
4.611302377573656,4.431508624173406,Poly(acrylic acid)
11.244624010647788,4.216807495015622,Poly(acrylic acid)
18.534881224670592,4.185891521947826,Poly(acrylic acid)
0.35806861788390654,7.8058747643739625,PEEK
4.611302377573656,12.441820909880992,PEEK
11.244624010647788,47.224652177791654,PEEK
18.534881224670592,184.33943872105246,PEEK
0.35806861788390654,3.2555245257404004,Polyrotaxane
4.611302377573656,3.2839471067740087,Polyrotaxane
11.244624010647788,2.8940065000337385,Polyrotaxane
18.534881224670592,2.760692814296389,Polyrotaxane
