Time (s),Polarization Resistance (Ω·m²)
4.720408298517354,10.821489147568759,0.05% PVA
8.211191192890317,24.57957717078617,0.05% PVA
10.782968504274454,49.8501311846004,0.05% PVA
14.543691708032696,77.09223129930287,0.05% PVA
16.72848811593481,99.05090056306149,0.05% PVA
4.835070193635307,10.771685416791819,0.95% PVA
7.339787944702357,8.872822313468046,0.95% PVA
7.558985607942416,16.56401604677152,0.95% PVA
12.631125699339634,62.00859024974841,0.95% PVA
17.88635497098185,9.600147333542616,0.95% PVA
0.4201288505273948,0.6976628419539981,1.0% PVA
0.7616476684504114,0.39985935322283683,1.0% PVA
12.05324182655084,-0.24706717912953327,1.0% PVA
17.781199395361053,-0.27072344833147965,1.0% PVA
19.872879267982082,-0.2730325885695249,1.0% PVA
3.0183187642322173,-6.469402948321868,0.3% PVA
5.215139595876785,-5.427613092387949,0.3% PVA
13.04940823441294,-6.945466913264893,0.3% PVA
15.715865548082684,-4.551625002831244,0.3% PVA
19.02474183087239,19.309267968649273,0.3% PVA
