Drying Time (h),Thermal Expansion (1/K)
2,-6.077142197695394,0.57% Poly(vinyl alcohol)/DGEBF Epoxy Resin
10,-6.383198144391177,0.57% Poly(vinyl alcohol)/DGEBF Epoxy Resin
11,-6.394189637808738,0.57% Poly(vinyl alcohol)/DGEBF Epoxy Resin
13,-6.45897504373952,0.57% Poly(vinyl alcohol)/DGEBF Epoxy Resin
2,6.459662096710499,0.21% Poly(vinyl alcohol)/DGEBF Epoxy Resin
10,5.880902951618723,0.21% Poly(vinyl alcohol)/DGEBF Epoxy Resin
11,5.849242090803215,0.21% Poly(vinyl alcohol)/DGEBF Epoxy Resin
13,5.782319667045124,0.21% Poly(vinyl alcohol)/DGEBF Epoxy Resin
2,-1.0763286770006133,0.95% Poly(vinyl alcohol)/DGEBF Epoxy Resin
10,-1.2830738675479902,0.95% Poly(vinyl alcohol)/DGEBF Epoxy Resin
11,-1.3092639149905532,0.95% Poly(vinyl alcohol)/DGEBF Epoxy Resin
13,-1.3650977834643108,0.95% Poly(vinyl alcohol)/DGEBF Epoxy Resin
2,4.358182445410494,0.3% Poly(vinyl alcohol)/DGEBF Epoxy Resin
10,6.362109628399306,0.3% Poly(vinyl alcohol)/DGEBF Epoxy Resin
11,4.844823532301947,0.3% Poly(vinyl alcohol)/DGEBF Epoxy Resin
13,9.618599264290213,0.3% Poly(vinyl alcohol)/DGEBF Epoxy Resin
2,-1.5839941302609626,0.78% Poly(vinyl alcohol)/DGEBF Epoxy Resin
10,-1.9106165705293252,0.78% Poly(vinyl alcohol)/DGEBF Epoxy Resin
11,-1.9163983618152005,0.78% Poly(vinyl alcohol)/DGEBF Epoxy Resin
13,-1.9666779737145632,0.78% Poly(vinyl alcohol)/DGEBF Epoxy Resin
