UV Exposure Time (h),Loss Modulus (Pa)
1.4403531549063597,0.04997533292449652,
4.641666993832027,0.7753794903438727,
6.015028229397346,0.14332701289348848,
11.023983017953396,1.4310680886160565,
13.000535984611766,4.64236640183929,
15.067264388838797,4.775332739753707,
1.4403531549063597,7.6741281070147975,
4.641666993832027,7.182277833963196,
6.015028229397346,7.115339582100706,
11.023983017953396,6.961076350341906,
13.000535984611766,6.9502698806877,
15.067264388838797,6.941791356358495,
1.4403531549063597,-4.1102626033029726,
4.641666993832027,-2.9230773730545394,
6.015028229397346,-4.000141125999246,
11.023983017953396,-2.6928122466918953,
13.000535984611766,-4.379251190800879,
15.067264388838797,1.2328155579234954,
1.4403531549063597,5.620129425045608,
4.641666993832027,6.064264614235824,
6.015028229397346,7.446979626887881,
11.023983017953396,6.8299813347683145,
13.000535984611766,9.659327956159878,
15.067264388838797,10.169468956849665,
