Ultrasound Power (W),Degradation Temperature (°C)
11.106616993407991,33.842802317687756,0.5% Ba0.7Sr0.3TiO3
17.949946370323904,-58.179947466987244,0.5% Ba0.7Sr0.3TiO3
18.830307181977084,-25.289630566878884,0.5% Ba0.7Sr0.3TiO3
19.89330332721092,-526.1238068144407,0.5% Ba0.7Sr0.3TiO3
11.106616993407991,17.047213279835475,0.29% Ba0.7Sr0.3TiO3
17.949946370323904,-204.4103749285984,0.29% Ba0.7Sr0.3TiO3
18.830307181977084,153.9739728420829,0.29% Ba0.7Sr0.3TiO3
19.89330332721092,889.5801112792741,0.29% Ba0.7Sr0.3TiO3
11.106616993407991,-5.054982365187063,0.4% Ba0.7Sr0.3TiO3
17.949946370323904,-5.270432565463355,0.4% Ba0.7Sr0.3TiO3
18.830307181977084,-5.293327267991549,0.4% Ba0.7Sr0.3TiO3
19.89330332721092,-5.3123899681477225,0.4% Ba0.7Sr0.3TiO3
11.106616993407991,0.1700326269040362,0.47% Ba0.7Sr0.3TiO3
17.949946370323904,1.2818361150952056,0.47% Ba0.7Sr0.3TiO3
18.830307181977084,-0.4491034887027343,0.47% Ba0.7Sr0.3TiO3
19.89330332721092,8.510956367613828,0.47% Ba0.7Sr0.3TiO3
11.106616993407991,3.9340761823286217,0.34% Ba0.7Sr0.3TiO3
17.949946370323904,3.9036968174658155,0.34% Ba0.7Sr0.3TiO3
18.830307181977084,3.9025598054634854,0.34% Ba0.7Sr0.3TiO3
19.89330332721092,3.901450278339965,0.34% Ba0.7Sr0.3TiO3
