Dispersing Time (min),Hysteresis Loss (J/m³)
5,-4.977311503149336,0.79% Molybdenum disulfide/Poly(butyl acrylate)
8,-5.086985662706487,0.79% Molybdenum disulfide/Poly(butyl acrylate)
9,-5.060369925437103,0.79% Molybdenum disulfide/Poly(butyl acrylate)
14,-5.2434012387886755,0.79% Molybdenum disulfide/Poly(butyl acrylate)
19,-5.3535146171776145,0.79% Molybdenum disulfide/Poly(butyl acrylate)
5,3.8812591039856574,0.49% Molybdenum disulfide/Poly(butyl acrylate)
8,3.0387535805369392,0.49% Molybdenum disulfide/Poly(butyl acrylate)
9,4.410847090752242,0.49% Molybdenum disulfide/Poly(butyl acrylate)
14,1.319057229723863,0.49% Molybdenum disulfide/Poly(butyl acrylate)
19,19.285196869483393,0.49% Molybdenum disulfide/Poly(butyl acrylate)
5,4.14896831380002,0.04% Molybdenum disulfide/Poly(butyl acrylate)
8,4.022032931610411,0.04% Molybdenum disulfide/Poly(butyl acrylate)
9,3.9970517765738696,0.04% Molybdenum disulfide/Poly(butyl acrylate)
14,3.9439449180977793,0.04% Molybdenum disulfide/Poly(butyl acrylate)
19,3.9330275386890463,0.04% Molybdenum disulfide/Poly(butyl acrylate)
5,-3.676676236245784,0.87% Molybdenum disulfide/Poly(butyl acrylate)
8,-3.7857105534111137,0.87% Molybdenum disulfide/Poly(butyl acrylate)
9,-3.8057669914470535,0.87% Molybdenum disulfide/Poly(butyl acrylate)
14,-3.857953025178218,0.87% Molybdenum disulfide/Poly(butyl acrylate)
19,-3.868557544164663,0.87% Molybdenum disulfide/Poly(butyl acrylate)
