UV Exposure Time (h),Toughness (MJ/m³)
3,5.720947953868946,0.96% titanium dioxide
9,5.143279570572586,0.96% titanium dioxide
15,5.4098183865597935,0.96% titanium dioxide
16,13.050504706282188,0.96% titanium dioxide
3,5.7792951950455835,0.82% titanium dioxide
9,7.679514213775315,0.82% titanium dioxide
15,13.314300539213596,0.82% titanium dioxide
16,14.912875037956619,0.82% titanium dioxide
3,-0.7746975948773357,0.2% titanium dioxide
9,-0.9361614754178371,0.2% titanium dioxide
15,-1.1427975151544716,0.2% titanium dioxide
16,-1.1818934989596093,0.2% titanium dioxide
