Volume Fraction,Polarization Resistance (Ω·m²)
0.06410301893348569,-3.4235153804645453,Organophilic clay/PP
1.4289762030781206,-3.6059679708219217,Organophilic clay/PP
2.2518373921073276,-4.037374916017513,Organophilic clay/PP
12.326977512313654,-4.456249403464178,Organophilic clay/PP
13.414490794117281,-4.460558745843338,Organophilic clay/PP
2.572061751035184,-6.231562102538825,aluminum/PP
5.117819757465993,-5.520626447042883,aluminum/PP
7.208361184651471,-5.2331564518072415,aluminum/PP
15.52779346736501,2.543490011465213,aluminum/PP
19.828064174705535,7.485794884853856,aluminum/PP
5,5.357334353259666,calcium carbonate/PP
6,5.666125619423572,calcium carbonate/PP
14,51.247491999392814,calcium carbonate/PP
17,287.2137872513988,calcium carbonate/PP
19,379.90444719234017,calcium carbonate/PP
