Drying Time (h),Impact Strength (kJ/m²)
2.7584875687875177,1.2558512946793352,PEA
7.346079304611399,0.8081151983307846,PEA
11.754416483804505,0.6766254694820084,PEA
2.7584875687875177,6.874711313751963,Nylon 6T
7.346079304611399,8.541724210810171,Nylon 6T
11.754416483804505,9.58156165727414,Nylon 6T
2.7584875687875177,10.065310869643124,Polyphenylsulfone
7.346079304611399,10.98651665030502,Polyphenylsulfone
11.754416483804505,7.275858397805965,Polyphenylsulfone
2.7584875687875177,3.5510362835469853,PαMS
7.346079304611399,3.2612072941276087,PαMS
11.754416483804505,3.124711373659508,PαMS
