Synthesis Time (min),Thermal Conductivity (W/(m·K))
2,6.181213825891727,TGPAP
3,6.025251931161212,TGPAP
16,5.656479389283706,TGPAP
17,5.65408195897224,TGPAP
2,-5.6616249159500125,Poly(styrene-co-acrylonitrile)
3,-5.7670591629334895,Poly(styrene-co-acrylonitrile)
16,-6.266302962880973,Poly(styrene-co-acrylonitrile)
17,-6.267600862980188,Poly(styrene-co-acrylonitrile)
2,8.47246361782039,DGEBF
3,9.332498005625697,DGEBF
16,123.5825149780843,DGEBF
17,661.7441756025363,DGEBF
2,-1.865672712882613,Poly(styrene-b-butadiene)
3,-2.0114767599570635,Poly(styrene-b-butadiene)
16,-2.454736033735803,Poly(styrene-b-butadiene)
17,-2.4575019937082883,Poly(styrene-b-butadiene)
2,5.910631500539873,Poly(styrene-b-butadiene)
3,6.227909383178432,Poly(styrene-b-butadiene)
16,-38.656277265769724,Poly(styrene-b-butadiene)
17,194.1539290584045,Poly(styrene-b-butadiene)
